Feature, Selector, Training Time, Recognize Time, WER
ground, Constant, 9.508039260981604, 17.38526189897675, 0.6685393258426966
ground, CV, 85.332036598993, 93.10403805898386, 0.5280898876404494
ground, BIC, 57.85067655798048, 66.09375473097316, 0.550561797752809
ground, DIC, 169.4862248839927, 178.51357928698417, 0.5730337078651685
norm, Constant, 10.577048375998856, 18.35575031201006, 0.6235955056179775
norm, CV, 95.99757061200216, 103.83304137000232, 0.601123595505618
norm, BIC, 61.39404059399385, 69.36950498798979, 0.6123595505617978
norm, DIC, 182.19061564697768, 190.65061492699897, 0.5955056179775281
polar, Constant, 9.675791109999409, 17.626928963989485, 0.6179775280898876
polar, CV, 92.39876545200241, 100.33997574998648, 0.5561797752808989
polar, BIC, 64.37847587899887, 72.28370735401404, 0.5449438202247191
polar, DIC, 183.11916361699696, 192.1905223549984, 0.5449438202247191
delta, Constant, 10.185892946989043, 18.176058229990304, 0.6404494382022472
delta, CV, 96.7883559629845, 104.651788853982, 0.6067415730337079
delta, BIC, 69.9937882059894, 77.87589059397578, 0.6179775280898876
delta, DIC, 172.23011177199078, 180.97552881101728, 0.6292134831460674
custom, Constant, 10.481330552021973, 18.382958169007907, 0.601123595505618
custom, CV, 96.6090028900071, 104.56144458299968, 0.5842696629213483
custom, BIC, 64.01437524901121, 72.01007299902267, 0.5674157303370787
custom, DIC, 187.56320616300218, 196.13883111497853, 0.550561797752809
